state,county_name,frac_under_25mbpsDL,samples,BB_state,BB_county_name,frac_BB,BB_samples,DLmed_state,DLmed_county_name,DLmbps,ULmed_state,ULmed_county_name,ULmbps,ul_sample_size,ul_sample_state,ul_sample_county_name,dl_sample_size,dl_sample_state,dl_sample_county_name
IL,Cass,0.57746478873239437,142,IL,Cass,0.31220302625244689,787439132,IL,Cass,16.804320612530571,IL,Cass,1.743144489519352,13679,IL,Cass,11884,IL,Cass
IL,Morgan,0.76315789473684215,570,IL,Morgan,0.17499801208360841,3160847220,IL,Morgan,8.53598512861919,IL,Morgan,1.0760085830788753,36245,IL,Morgan,42906,IL,Morgan
IL,Clark,0.7142857142857143,56,IL,Clark,0.21110871298974981,310539376,IL,Clark,9.8416952698549682,IL,Clark,2.3378849834292796,7462,IL,Clark,7504,IL,Clark
IL,Montgomery,0.58965517241379306,290,IL,Montgomery,0.30319578951803722,1608150340,IL,Montgomery,17.364543704577564,IL,Montgomery,2.8151359926146453,19339,IL,Montgomery,25362,IL,Montgomery
IL,Scott,0.7,40,IL,Scott,0.22166414863923731,221813840,IL,Scott,16.380783965830592,IL,Scott,6.2421853725393612,5350,IL,Scott,5438,IL,Scott
IL,Pope,0.9,20,IL,Pope,0.073888049546412427,110906920,IL,Pope,17.304569916788491,IL,Pope,2.7925599640072174,1039,IL,Pope,972,IL,Pope
IL,Wabash,0.36666666666666664,90,IL,Wabash,0.46795764712727872,499081140,IL,Wabash,39.069974317426215,IL,Wabash,3.1685473940225,7311,IL,Wabash,7364,IL,Wabash
IL,Hancock,0.6,90,IL,Hancock,0.29555219818564971,499081140,IL,Hancock,19.4564573787373,IL,Hancock,5.6377851909443519,8827,IL,Hancock,8691,IL,Hancock
IL,Will,0.36027915091596396,10317,IL,Will,0.47267725792994286,57211334682,IL,Will,43.852968530252532,IL,Will,9.911822481916337,887132,IL,Will,829522,IL,Will
IL,Logan,0.55185185185185182,270,IL,Logan,0.33112792574503347,1497243420,IL,Logan,16.860851208389644,IL,Logan,4.9657929944029551,21581,IL,Logan,22244,IL,Logan
IL,Winnebago,0.49339292654488925,5146,IL,Winnebago,0.37432208544014228,28536350516,IL,Winnebago,24.821535133678442,IL,Winnebago,6.6216830678809986,346271,IL,Winnebago,297677,IL,Winnebago
