state,county_name,frac_under_25mbpsDL,samples,UL_3_state,UL_3_county_name,frac_under_3mbpsUL,UL_3_samples,DL_10_state,DL_10_county_name,frac_under_10mbpsDL,DL_10_samples,UL_1_state,UL_1_county_name,frac_under_1mbpsUL,UL_1_samples,DLmed_state,DLmed_county_name,DLmbps,ULmed_state,ULmed_county_name,ULmbps,ul_sample_size,ul_sample_state,ul_sample_county_name,dl_sample_size,dl_sample_state,dl_sample_county_name
TX,Liberty,0.64047619047619042,420,TX,Liberty,0.50234741784037562,426,TX,Liberty,0.39523809523809522,420,TX,Liberty,0.31924882629107981,426,TX,Liberty,13.823268139613559,TX,Liberty,2.5642892569115285,54158,TX,Liberty,55422,TX,Liberty
TX,Brazos,0.41455696202531644,4108,TX,Brazos,0.22584789311408016,3892,TX,Brazos,0.26874391431353456,4108,TX,Brazos,0.12204522096608428,3892,TX,Brazos,36.292339199034259,TX,Brazos,12.772610439785787,377258,TX,Brazos,383417,TX,Brazos
TX,Hansford,0.63414634146341464,41,TX,Hansford,0.45945945945945948,37,TX,Hansford,0.63414634146341464,41,TX,Hansford,0.29729729729729731,37,TX,Hansford,3.8312361418970924,TX,Hansford,3.1448156685962916,1857,TX,Hansford,1911,TX,Hansford
TX,Hamilton,0.69811320754716977,53,TX,Hamilton,0.6785714285714286,84,TX,Hamilton,0.41509433962264153,53,TX,Hamilton,0.27380952380952384,84,TX,Hamilton,15.124372607173298,TX,Hamilton,1.8167480186906053,5462,TX,Hamilton,4959,TX,Hamilton
TX,Orange,0.44854586129753915,894,TX,Orange,0.27705112960760997,841,TX,Orange,0.28859060402684567,894,TX,Orange,0.18430439952437574,841,TX,Orange,31.125154304689392,TX,Orange,9.9648678819970584,60085,TX,Orange,68495,TX,Orange
TX,Brooks,0.625,8,TX,Brooks,0.25,8,TX,Brooks,0.125,8,TX,Brooks,0.125,8,TX,Brooks,17.336379471667076,TX,Brooks,32.879530438987594,1390,TX,Brooks,1161,TX,Brooks
TX,Smith,0.47639205470530771,3071,TX,Smith,0.28361344537815125,2856,TX,Smith,0.30999674373168351,3071,TX,Smith,0.18207282913165265,2856,TX,Smith,26.590255247856227,TX,Smith,7.7667159981079612,198728,TX,Smith,194493,TX,Smith
TX,Rockwall,0.39255910987482617,2876,TX,Rockwall,0.2471264367816092,2784,TX,Rockwall,0.21870653685674549,2876,TX,Rockwall,0.12931034482758622,2784,TX,Rockwall,40.152158998049075,TX,Rockwall,10.73017876620762,206494,TX,Rockwall,194677,TX,Rockwall
TX,Hardin,0.48266666666666669,750,TX,Hardin,0.35127478753541075,706,TX,Hardin,0.276,750,TX,Hardin,0.18980169971671387,706,TX,Hardin,25.925117217394305,TX,Hardin,6.5758466365594943,39141,TX,Hardin,40009,TX,Hardin
TX,Newton,1.0,3,TX,Newton,1.0,1,TX,Newton,1.0,3,TX,Newton,1.0,1,TX,Newton,2.0889778271337107,TX,Newton,0.37006313965974569,1112,TX,Newton,1072,TX,Newton
