state,county_name,frac_under_25mbpsDL,samples,BB_state,BB_county_name,frac_BB,BB_samples,DLmed_state,DLmed_county_name,DLmbps,ULmed_state,ULmed_county_name,ULmbps,ul_sample_size,ul_sample_state,ul_sample_county_name,dl_sample_size,dl_sample_state,dl_sample_county_name
MN,Winona,0.58091286307053946,482,MN,Winona,0.2909276357812457,2775598928,MN,Winona,20.218410855932937,MN,Winona,5.2101446041573132,46333,MN,Winona,43971,MN,Winona
MN,Kanabec,0.80701754385964908,57,MN,Kanabec,0.13396719862012896,328234728,MN,Kanabec,2.3613649188066765,MN,Kanabec,1.955425106190702,4810,MN,Kanabec,5043,MN,Kanabec
MN,Clay,0.52389705882352944,544,MN,Clay,0.33050764592730009,3132626176,MN,Clay,23.211470932426209,MN,Clay,7.2086387010193915,47831,MN,Clay,40853,MN,Clay
MN,Douglas,0.65171503957783639,379,MN,Douglas,0.2417772133408132,2182473016,MN,Douglas,14.599474326853322,MN,Douglas,5.5926002590932669,31965,MN,Douglas,29054,MN,Douglas
MN,Cass,0.75,172,MN,Cass,0.17354841639425794,990462688,MN,Cass,11.150813709004614,MN,Cass,2.4391548315524938,17868,MN,Cass,18733,MN,Cass
MN,Otter Tail,0.5702054794520548,584,MN,Otter Tail,0.298360633664101,3362966336,MN,Otter Tail,20.805042397336639,MN,Otter Tail,3.9121939034998889,55174,MN,Otter Tail,52592,MN,Otter Tail
MN,Wabasha,0.57396449704142016,169,MN,Wabasha,0.29575114746477094,973187176,MN,Wabasha,19.384630923245229,MN,Wabasha,8.3176718504006359,14722,MN,Wabasha,15003,MN,Wabasha
MN,Big Stone,0.42857142857142855,14,MN,Big Stone,0.39668209461544673,80619056,MN,Big Stone,30.5659904,MN,Big Stone,7.1362474559079905,1530,MN,Big Stone,1504,MN,Big Stone
MN,Anoka,0.42384812286689422,4688,MN,Anoka,0.39996098351611836,26995866752,MN,Anoka,32.485720296532008,MN,Anoka,4.8998617103200113,424305,MN,Anoka,437714,MN,Anoka
MN,Le Sueur,0.75728155339805825,412,MN,Le Sueur,0.168493608149765,2372503648,MN,Le Sueur,7.835737952281022,MN,Le Sueur,2.344905763428125,35946,MN,Le Sueur,33542,MN,Le Sueur
MN,Clearwater,0.5161290322580645,124,MN,Clearwater,0.33590016076307994,714054496,MN,Clearwater,24.082755126498181,MN,Clearwater,22.125090086352188,3604,MN,Clearwater,3720,MN,Clearwater
MN,Lyon,0.58974358974358976,156,MN,Lyon,0.284797401262372,898326624,MN,Lyon,14.509545604777081,MN,Lyon,6.8426871431749339,19635,MN,Lyon,21205,MN,Lyon
MN,Benton,0.706959706959707,273,MN,Benton,0.2034267151874086,1572071592,MN,Benton,12.791812704301952,MN,Benton,7.092010011470407,25519,MN,Benton,19016,MN,Benton
MN,Olmsted,0.54420432220039294,2036,MN,Olmsted,0.316410472325877,11724314144,MN,Olmsted,19.826809742568322,MN,Olmsted,7.5363684093987411,231461,MN,Olmsted,183523,MN,Olmsted
MN,Fillmore,0.70307167235494883,293,MN,Fillmore,0.206125764181576,1687241672,MN,Fillmore,10.27542503466811,MN,Fillmore,5.3453385972107172,16029,MN,Fillmore,16770,MN,Fillmore
MN,Blue Earth,0.630844382414515,1433,MN,Blue Earth,0.2562654913400208,8251936232,MN,Blue Earth,15.59038845127702,MN,Blue Earth,5.13754079716616,117209,MN,Blue Earth,106533,MN,Blue Earth
MN,Sherburne,0.5873655913978495,1488,MN,Sherburne,0.28644819265073757,8568653952,MN,Sherburne,16.553925600937312,MN,Sherburne,6.7365823606347828,134177,MN,Sherburne,124870,MN,Sherburne
MN,Lincoln,0.95,20,MN,Lincoln,0.034709683278851593,115170080,MN,Lincoln,7.8563509046809541,MN,Lincoln,1.3023478256786041,1852,MN,Lincoln,1768,MN,Lincoln
MN,Brown,0.768595041322314,242,MN,Brown,0.16063985649716439,1393557968,MN,Brown,8.1455317696581275,MN,Brown,1.5818330224821067,12055,MN,Brown,13674,MN,Brown
MN,Grant,0.80519480519480524,77,MN,Grant,0.13523253225526594,443404808,MN,Grant,13.008685156036151,MN,Grant,12.123708914798565,5037,MN,Grant,4380,MN,Grant
MN,Houston,0.7,160,MN,Houston,0.20825809967310954,921360640,MN,Houston,13.837024561884228,MN,Houston,4.0352178397548668,12427,MN,Houston,12984,MN,Houston
MN,Hubbard,0.647887323943662,142,MN,Hubbard,0.24443438928768726,817707568,MN,Hubbard,16.822548554697111,MN,Hubbard,4.91579680252629,10996,MN,Hubbard,11193,MN,Hubbard
