state,county_name,frac_under_25mbpsDL,samples,UL_3_state,UL_3_county_name,frac_under_3mbpsUL,UL_3_samples,DL_10_state,DL_10_county_name,frac_under_10mbpsDL,DL_10_samples,UL_1_state,UL_1_county_name,frac_under_1mbpsUL,UL_1_samples,DLmed_state,DLmed_county_name,DLmbps,ULmed_state,ULmed_county_name,ULmbps,ul_sample_size,ul_sample_state,ul_sample_county_name,dl_sample_size,dl_sample_state,dl_sample_county_name
SD,Jackson,0.44444444444444442,9,SD,Jackson,0.1111111111111111,9,SD,Jackson,0.0,9,SD,Jackson,0.0,9,SD,Jackson,73.669337851840126,SD,Jackson,23.036222015647414,420,SD,Jackson,496,SD,Jackson
SD,Butte,0.64864864864864868,37,SD,Butte,0.34375,32,SD,Butte,0.27027027027027029,37,SD,Butte,0.03125,32,SD,Butte,16.213658877338368,SD,Butte,4.5581719310975721,3551,SD,Butte,4483,SD,Butte
SD,Mellette,1.0,35,SD,Mellette,0.88571428571428568,35,SD,Mellette,0.74285714285714288,35,SD,Mellette,0.8571428571428571,35,SD,Mellette,8.8525923591751745,SD,Mellette,0.6391929805412695,965,SD,Mellette,975,SD,Mellette
SD,Miner,0.8,10,SD,Miner,0.0,10,SD,Miner,0.6,10,SD,Miner,0.0,10,SD,Miner,7.3821327232431475,SD,Miner,10.718711365501964,931,SD,Miner,918,SD,Miner
SD,Hutchinson,0.825,80,SD,Hutchinson,0.5714285714285714,77,SD,Hutchinson,0.425,80,SD,Hutchinson,0.07792207792207792,77,SD,Hutchinson,12.179534999089446,SD,Hutchinson,2.82832183470753,6305,SD,Hutchinson,5172,SD,Hutchinson
SD,Clay,0.3625,80,SD,Clay,0.18072289156626506,83,SD,Clay,0.2125,80,SD,Clay,0.12048192771084337,83,SD,Clay,39.155375394005688,SD,Clay,8.52311739740693,6897,SD,Clay,16577,SD,Clay
SD,Stanley,0.0,1,SD,Stanley,0.0,1,SD,Stanley,0.0,1,SD,Stanley,0.0,1,SD,Stanley,35.15486476047132,SD,Stanley,8.3947448541991925,1415,SD,Stanley,182,SD,Stanley
SD,Clark,0.62195121951219512,82,SD,Clark,0.53164556962025311,79,SD,Clark,0.53658536585365857,82,SD,Clark,0.45569620253164556,79,SD,Clark,8.9265626241531724,SD,Clark,1.7163263971525029,2451,SD,Clark,2426,SD,Clark
SD,Hand,0.88888888888888884,9,SD,Hand,0.2857142857142857,7,SD,Hand,0.88888888888888884,9,SD,Hand,0.14285714285714285,7,SD,Hand,1.360225337997506,SD,Hand,4.7234326936734918,2105,SD,Hand,2082,SD,Hand
SD,Haakon,1.0,9,SD,Haakon,0.5,8,SD,Haakon,0.66666666666666663,9,SD,Haakon,0.25,8,SD,Haakon,7.6230983894282165,SD,Haakon,2.7563272397519984,620,SD,Haakon,649,SD,Haakon
