cbsa,city, population ,venturedensitymay18,venturedensitynov18,venturedensityfeb19,venturedensitymay19,venturedensitysep19,venturedensityoct19,venturedensitynov19,venturedensitydec19,highlyactive_vdmay18,highlyactive_vdnov18,highlyactive_vdfeb19,highlyactive_vdmay19,highlyactive_vdsep19,highlyactive_vdoct19,highlyactive_vdnov19,highlyactive_vddec19,age18to24,age25to44,age45to54,age55to64,age65to74,age75over,pctpoverty,pctblack,pctasian,pctnatandpacific,pcthispanic,pctforeignborn,pctagriculture,pctconstruction,pctmanufacturing,pctwholesale,pctretail,pcttransportation,pctinformation_technology,pctfinance,pctprofessional,pcteducation,pctentertainment,pctpublic,pctbroadband,pctbroadband_poorpeople,pcths,pctcollege,prosperityindex2016,prosperityindex2007,change_prosperity,medinc2016,medinc2017,change_medianincome,smallbusiness_per_100
36830,"Othello, WA Micro Area"," 19,261 ",1.480709076,1.421772718,1.547445178,1.543274164,1.489051104,1.468196047,1.53910327,1.559958339,0.212721586,0.233576613,0.237747654,0.254431695,0.258602714,0.237747654,0.262773712,0.296141813,10.1,23.9,10.6,9.7,6,4.7,23.1,0.6,1.2,2.900000095,62.3,23.60209846,31.5328083,2.900605917,15.80507946,5.040608406,4.937475681,6.742297173,0.360964298,0.683253825,3.570968151,18.64122772,5.285548687,2.604099512,63.08378983,36.20000076,26,9,30.94861676,35.97253724,-4.98910254,47554,48131,577,5.850641684
36840,"Ottawa, KS Micro Area"," 25,599 ",2.618648529,2.711544037,2.737152338,2.73426199,2.783397913,2.777617129,2.803630352,2.820972204,0.546274364,0.595410124,0.612752199,0.638765216,0.644545909,0.589629458,0.609861827,0.630094204,9.1,22.6,13.8,14.1,9.4,6.5,12.5,1.5,0.3,0.400000006,4.1,1.175827146,3.707759619,7.66583252,11.34230328,3.621714592,15.10481834,6.55506897,1.181163907,3.480913639,7.986545563,23.65456772,7.36076355,3.582603216,67.79832458,41.90000153,37.3,13.6,53.07636716,67.99942355,-14.92305642,51465,53167,1702,6.772067614
36860,"Ottawa-Peru, IL Micro Area"," 150,541 ",,,,,,,,,,,,,0,,0,0,8.2,23.1,13.9,14.6,9.8,8.6,13.2,2,0.8,0.200000003,9,3.408373833,4.320828915,5.879581928,15.22068024,3.121788263,13.65907288,7.522553444,1.093410969,4.25231266,6.364908218,21.7711544,8.277663231,3.582848072,76.73882294,54.09999847,36.9,11.8,,,,51873,54830,2957,
36900,"Ottumwa, IA Micro Area"," 44,155 ",1.4063586,1.258367419,1.506983876,1.50219214,1.461462855,1.485421275,1.461462855,1.4854213,0.318646818,0.340209405,0.376147002,0.404897094,0.400105398,0.392917891,0.383334537,0.400105445,8.9,23.8,12.3,14.1,9,8.1,16.3,2.4,0.8,0.300000012,8.6,6.379798889,3.333662987,8.428133011,21.5550499,1.928974152,12.00910091,4.228904724,1.182114959,5.040063381,4.629538059,25.77900887,5.504995346,2.339499474,69.3298111,45.09999847,35.6,11.9,35.27340197,44.08345664,-8.810054671,43824,44863,1039,6.64127047
36940,"Owatonna, MN Micro Area"," 36,612 ",2.672773838,2.54370141,2.836156607,2.811020613,2.795659781,2.784488444,2.76773119,2.760749102,0.652134418,0.675873841,0.681459546,0.684252441,0.769434869,0.721956129,0.73173116,0.745695503,7.9,23.4,13.9,13.3,8.3,8,9.9,3.3,1.2,0.200000003,7.5,3.441494703,3.765035868,5.938831806,24.42958069,2.405739307,12.33615589,3.263390779,1.030260563,9.148282051,5.901073456,18.92227173,6.413506508,2.697017193,79.06574249,47,35,17.5,55.66846673,67.21335893,-11.5448922,58141,58882,741,7.936485933
36980,"Owensboro, KY Metro Area"," 117,319 ",1.873274326,1.812108278,1.873274446,1.882847309,1.889397264,1.916834485,1.884358764,1.875793576,0.331022382,0.331526245,0.327999353,0.348656774,0.359237404,0.344293171,0.347649073,0.344626047,8.2,24.4,13.4,13.2,9.3,7.1,16.1,3.9,1.2,0.200000003,2.6,2.190608501,2.341534376,5.970721245,18.94305229,2.115428925,11.94719124,5.185100079,1.090288997,6.361615658,5.7752738,23.28313065,7.553460598,3.48930788,74.58486938,50.40000153,36.4,12.1,40.63472547,44.40602671,-3.646436894,46749,48217,1468,6.882467052
37020,"Owosso, MI Micro Area"," 68,617 ",,,,,,,,,,,,,0,,0,0,8.6,22.8,14.9,14.7,9.8,7.1,13.1,0.4,0.5,0.200000003,2.9,0.974977016,2.124342203,8.640291214,18.19333458,1.867732048,13.29825211,4.635223866,1.617618442,4.167478561,6.733580112,21.47404671,7.113623142,4.797635078,74.6877594,50.90000153,37.2,10.6,,,,48470,50967,2497,
37060,"Oxford, MS Micro Area"," 52,744 ",3.110385656,3.203732014,3.281705856,3.466916561,3.495856047,3.560679772,3.542158604,3.541001081,0.728110373,0.702643851,0.718849838,0.746631444,0.803352334,0.757049567,0.775570702,0.801037159,24.8,25.8,9.9,10.1,6.8,4.4,25.3,23.8,2.1,0.100000001,2.5,3.005081177,1.053362131,3.788837671,8.549381256,1.204425812,10.43971729,3.964397907,1.526966929,4.838117123,8.733107567,32.94410706,14.31021118,3.943984032,75.97511292,60.40000153,18.9,22.7,38.92622355,33.81718521,5.109038342,43162,45019,1857,6.705792314
37080,"Oxford, NC Micro Area"," 58,503 ",,,,,,,,,,,,,0,,0,0,9,23.9,16.1,14.2,9.6,6.1,14.3,31,0.4,0.600000024,7.6,4.13312149,1.224171519,5.450292587,15.95711517,3.15009737,10.53021431,5.781676292,1.391812921,5.200779915,9.797270775,24.04288483,6.518518448,6.436646938,73.27285767,39.79999924,31.5,14.5,,,,50317,52089,1772,
37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area"," 847,834 ",7.576580048,7.652079582,7.917397499,7.925638676,7.984825611,8.011183379,8.021127701,8.005326271,1.46046102,1.523189362,1.563714266,1.552340031,1.628417894,1.557107676,1.60485208,1.591366529,9.8,25.7,13.9,12.7,8.1,6,10.3,1.7,7.2,1,42.3,22.6888752,5.782841206,5.853541851,10.51687145,3.02599597,10.65559196,3.20274806,2.403097153,7.783918858,11.69830704,19.47856903,9.57460022,4.81497097,85.09439087,58.5,18.9,20.4,69.40392517,65.7357643,3.66816087,78593,81972,3379,8.57963084
37120,"Ozark, AL Micro Area"," 49,393 ",1.86839962,1.914048672,1.906530261,1.917306304,1.927253485,1.919793061,1.945489764,1.947976589,0.342346519,0.374674661,0.402029216,0.429383755,0.442646584,0.412805251,0.431870576,0.440988736,9.1,26.4,12.5,12.6,9.3,6.5,19.6,19.4,1,0.5,6.1,2.757475615,2.446075201,5.270180225,11.32977581,2.173671246,15.88836956,9.395152092,1.067378283,4.247275829,6.687791824,18.68467903,8.672448158,9.267289162,69.7689209,45.5,32.6,11.1,28.82318589,28.39138061,0.499904069,44093,44711,618,6.792301661
37140,"Paducah, KY-IL Micro Area"," 97,319 ",2.878975868,2.98942256,2.912328959,2.911228895,2.890570164,2.892381981,2.875506401,2.864626884,0.609980881,0.648787869,0.65862149,0.639950335,0.695444038,0.665281354,0.668663997,0.666990271,7.4,23.4,13.4,14.8,10.8,8.3,17.3,8.7,0.6,0.200000003,2.2,1.908157825,2.280512571,6.824769497,9.744879723,1.981075525,13.18960381,7.497903824,1.097137332,4.582584858,8.283626556,24.40292168,10.07545853,3.873517752,68.71239471,41.59999847,33,12.6,27.78579909,36.49829012,-8.76776709,42653,42917,264,7.471503091
