state,county_name,frac_under_25mbpsDL,samples,BB_state,BB_county_name,frac_BB,BB_samples,DLmed_state,DLmed_county_name,DLmbps,ULmed_state,ULmed_county_name,ULmbps,ul_sample_size,ul_sample_state,ul_sample_county_name,dl_sample_size,dl_sample_state,dl_sample_county_name
MT,Pondera,0.94047619047619047,84,MT,Pondera,0.044131264917616368,507002916,MT,Pondera,2.5215729624338685,MT,Pondera,3.7989283829813578,3346,MT,Pondera,3579,MT,Pondera
MT,Madison,0.62576687116564422,326,MT,Madison,0.2774584066722286,1967654174,MT,Madison,21.737597711460705,MT,Madison,22.505817593832781,23456,MT,Madison,23039,MT,Madison
MT,Big Horn,0.58333333333333337,36,MT,Big Horn,0.30891885442331463,217286964,MT,Big Horn,18.108437577386766,MT,Big Horn,4.65762477311471,4377,MT,Big Horn,3760,MT,Big Horn
MT,Flathead,0.624326750448833,2228,MT,Flathead,0.27852611973319319,13447648772,MT,Flathead,15.367679373186538,MT,Flathead,3.0703484731377193,156219,MT,Flathead,135253,MT,Flathead
MT,Hill,0.54545454545454541,121,MT,Hill,0.33700238664361593,730325629,MT,Hill,20.743085711282305,MT,Hill,7.6290378025967032,13455,MT,Hill,11136,MT,Hill
MT,Sheridan,0.88461538461538458,52,MT,Sheridan,0.08554675968645635,313858948,MT,Sheridan,2.5072400563057626,MT,Sheridan,2.4631132828117162,2148,MT,Sheridan,1924,MT,Sheridan
MT,Gallatin,0.46588749524895479,10524,MT,Gallatin,0.39599381544206419,63520222476,MT,Gallatin,28.359635411924987,MT,Gallatin,23.839910874575676,822929,MT,Gallatin,740789,MT,Gallatin
MT,Valley,0.93442622950819676,61,MT,Valley,0.04861673774530853,368180689,MT,Valley,2.7835099082515469,MT,Valley,1.019197428955658,3462,MT,Valley,3635,MT,Valley
MT,McCone,0.2857142857142857,7,MT,McCone,0.5295751790113965,42250243,MT,McCone,124.27792826174614,MT,McCone,112.10874877538576,610,MT,McCone,542,MT,McCone
MT,Custer,0.36956521739130432,46,MT,Custer,0.46740765799701511,277644454,MT,Custer,28.941188592942925,MT,Custer,28.560845775381065,3834,MT,Custer,3501,MT,Custer
MT,Phillips,0.92307692307692313,13,MT,Phillips,0.057031173124304231,78464737,MT,Phillips,11.697691202821703,MT,Phillips,3.0144026616839459,1099,MT,Phillips,1055,MT,Phillips
MT,Rosebud,0.84615384615384615,52,MT,Rosebud,0.11406234624860846,313858948,MT,Rosebud,5.0532755351459091,MT,Rosebud,0.8244114904916876,3837,MT,Rosebud,4328,MT,Rosebud
MT,Jefferson,0.987012987012987,77,MT,Jefferson,0.0096286396183890271,464752673,MT,Jefferson,2.1970592610794131,MT,Jefferson,2.5173467878969835,18777,MT,Jefferson,15753,MT,Jefferson
MT,Wheatland,0.9285714285714286,14,MT,Wheatland,0.052957517901139645,84500486,MT,Wheatland,2.7919742334497912,MT,Wheatland,0.77409554381247236,544,MT,Wheatland,535,MT,Wheatland
MT,Beaverhead,0.8928571428571429,112,MT,Beaverhead,0.079436276851709467,676003888,MT,Beaverhead,16.68053252953154,MT,Beaverhead,6.6751329693226182,9843,MT,Beaverhead,8596,MT,Beaverhead
MT,Lincoln,0.89261744966442957,149,MT,Lincoln,0.079613986643324031,899326601,MT,Lincoln,5.3938933835084537,MT,Lincoln,1.4924604544191624,15478,MT,Lincoln,15381,MT,Lincoln
MT,Chouteau,0.84313725490196079,51,MT,Chouteau,0.11629886284171843,307823199,MT,Chouteau,5.9258960297246848,MT,Chouteau,1.0803669263861517,2304,MT,Chouteau,2282,MT,Chouteau
MT,Yellowstone,0.46487603305785125,1936,MT,Yellowstone,0.39674371882134785,11685210064,MT,Yellowstone,29.079420995065956,MT,Yellowstone,7.9460828950957714,175160,MT,Yellowstone,179839,MT,Yellowstone
MT,Roosevelt,0.90123456790123457,81,MT,Roosevelt,0.073225209937378272,488895669,MT,Roosevelt,2.1096651438671161,MT,Roosevelt,1.7678711075415388,5382,MT,Roosevelt,5128,MT,Roosevelt
MT,Daniels,1.0,13,MT,Daniels,0.0,78464737,MT,Daniels,0.64715377842713651,MT,Daniels,13.684715109331847,911,MT,Daniels,936,MT,Daniels
MT,Golden Valley,0.0,1,MT,Golden Valley,0.74140525061595508,6035749,MT,Golden Valley,115.38030112174322,MT,Golden Valley,40.889425977446358,401,MT,Golden Valley,385,MT,Golden Valley
MT,Fallon,0.5,6,MT,Fallon,0.37070262530797754,36214494,MT,Fallon,9.2682777852950178,MT,Fallon,27.835391443483033,1088,MT,Fallon,1021,MT,Fallon
MT,Garfield,1.0,2,MT,Garfield,0.0,12071498,MT,Garfield,0.81166445866352777,MT,Garfield,6.2307317419709349,334,MT,Garfield,268,MT,Garfield
MT,Park,0.926829268292683,615,MT,Park,0.05424916467921622,3711985635,MT,Park,8.0088436100418932,MT,Park,4.8392429513741746,53258,MT,Park,48787,MT,Park
MT,Deer Lodge,0.67391304347826086,92,MT,Deer Lodge,0.24176258172259404,555288908,MT,Deer Lodge,13.921400462785183,MT,Deer Lodge,8.7844749274178486,9664,MT,Deer Lodge,6726,MT,Deer Lodge
MT,Lewis and Clark,0.620583717357911,1302,MT,Lewis and Clark,0.28130122412003211,7858545198,MT,Lewis and Clark,14.331862207843896,MT,Lewis and Clark,4.8860799590848965,97233,MT,Lewis and Clark,72555,MT,Lewis and Clark
MT,Broadwater,0.94594594594594594,37,MT,Broadwater,0.040075959492754325,223322713,MT,Broadwater,6.5648893559381367,MT,Broadwater,7.0233797285784254,3165,MT,Broadwater,3032,MT,Broadwater
NC,Richmond,0.57294429708222816,377,NC,Richmond,0.31662134044872353,2275477373,NC,Richmond,13.228079495117555,NC,Richmond,6.656195419033387,24626,NC,Richmond,29469,NC,Richmond
NC,Halifax,0.46537396121883656,361,NC,Halifax,0.39637455226836377,2178905389,NC,Halifax,26.513671121286798,NC,Halifax,8.4465307145815558,32138,NC,Halifax,32582,NC,Halifax
NC,Wayne,0.4289667896678967,1084,NC,Wayne,0.42336702041630642,6542751916,NC,Wayne,30.976823028640446,NC,Wayne,9.1194832255639611,67076,NC,Wayne,68437,NC,Wayne
NC,Gaston,0.48505550811272419,3513,NC,Gaston,0.38178255006099138,21203586237,NC,Gaston,25.982192599526666,NC,Gaston,8.0746493736766425,199085,NC,Gaston,245994,NC,Gaston
NC,Ashe,0.58053691275167785,298,NC,Ashe,0.31099213532548448,1798653202,NC,Ashe,17.688086998317033,NC,Ashe,19.596646066585642,30581,NC,Ashe,26167,NC,Ashe
NC,Granville,0.5808,625,NC,Granville,0.31079708105820836,3772343125,NC,Granville,13.238434961645213,NC,Granville,4.3564018133706224,36675,NC,Granville,52467,NC,Granville
NC,Orange,0.34628099173553717,2420,NC,Orange,0.48467070515472765,14606512580,NC,Orange,48.366304071562887,NC,Orange,11.067850786914482,257549,NC,Orange,229616,NC,Orange
NC,Yadkin,0.45244956772334294,347,NC,Yadkin,0.40595676546694942,2094404903,NC,Yadkin,27.293958578568123,NC,Yadkin,10.780171306879579,28062,NC,Yadkin,26337,NC,Yadkin
NC,Johnston,0.45211672831894778,2433,NC,Johnston,0.40620353434897988,14684977317,NC,Johnston,29.096074786994087,NC,Johnston,9.3567888447862515,194366,NC,Johnston,188998,NC,Johnston
NC,Stokes,0.5286624203821656,471,NC,Stokes,0.34945215634127819,2842837779,NC,Stokes,22.134958529989074,NC,Stokes,8.9712614286968986,39033,NC,Stokes,39584,NC,Stokes
NC,Yancey,0.72368421052631582,228,NC,Yancey,0.20486197714388232,1376150772,NC,Yancey,16.321834697196596,NC,Yancey,1.913467471673119,20741,NC,Yancey,20755,NC,Yancey
NC,Harnett,0.4560260586319218,921,NC,Harnett,0.40330513632854881,5558924829,NC,Harnett,29.190835528836832,NC,Harnett,9.1845960925811152,153058,NC,Harnett,177856,NC,Harnett
NC,Clay,0.83982683982683981,231,NC,Clay,0.11875322196013133,1394258019,NC,Clay,6.2521906221631305,NC,Clay,1.2955728594169673,8604,NC,Clay,8826,NC,Clay
NC,Northampton,0.88888888888888884,9,NC,Northampton,0.082378361179550566,54321741,NC,Northampton,2.6085030167138439,NC,Northampton,0.48025667821208862,3133,NC,Northampton,3168,NC,Northampton
NC,Rowan,0.40935672514619881,1026,NC,Rowan,0.43790602521761085,6192678474,NC,Rowan,34.5051176449349,NC,Rowan,10.527120172792708,87855,NC,Rowan,80159,NC,Rowan
NC,Edgecombe,0.67948717948717952,156,NC,Edgecombe,0.2376298880179343,941576844,NC,Edgecombe,9.56125757644946,NC,Edgecombe,1.8657779888656745,25503,NC,Edgecombe,24126,NC,Edgecombe
NC,Madison,0.84397163120567376,282,NC,Madison,0.11568025186915611,1702081218,NC,Madison,4.5484438661545692,NC,Madison,0.91165445541724788,14427,NC,Madison,14953,NC,Madison
NC,Union,0.47094355342636951,4801,NC,Union,0.39224522736190914,28977630949,NC,Union,27.248084032339019,NC,Union,8.047873800778401,359714,NC,Union,335846,NC,Union
NC,Bladen,0.676829268292683,164,NC,Bladen,0.23960047733320497,989862836,NC,Bladen,10.189581725436575,NC,Bladen,3.589288251212174,13260,NC,Bladen,12239,NC,Bladen
NC,Montgomery,0.61956521739130432,92,NC,Montgomery,0.28205634534302637,555288908,NC,Montgomery,15.118391538876482,NC,Montgomery,4.1291015103811608,9991,NC,Montgomery,9507,NC,Montgomery
NC,Swain,0.71304347826086956,345,NC,Swain,0.21275107191588274,2082333405,NC,Swain,12.487553615158831,NC,Swain,1.6947804345247923,19104,NC,Swain,20616,NC,Swain
