state,county_name,frac_under_25mbpsDL,samples,UL_3_state,UL_3_county_name,frac_under_3mbpsUL,UL_3_samples,DL_10_state,DL_10_county_name,frac_under_10mbpsDL,DL_10_samples,UL_1_state,UL_1_county_name,frac_under_1mbpsUL,UL_1_samples,DLmed_state,DLmed_county_name,DLmbps,ULmed_state,ULmed_county_name,ULmbps,ul_sample_size,ul_sample_state,ul_sample_county_name,dl_sample_size,dl_sample_state,dl_sample_county_name
TN,Monroe,0.6,385,TN,Monroe,0.48392857142857143,560,TN,Monroe,0.44675324675324674,385,TN,Monroe,0.31785714285714284,560,TN,Monroe,11.856799585184088,TN,Monroe,3.0668516569864517,38356,TN,Monroe,31895,TN,Monroe
TN,Weakley,0.764525993883792,327,TN,Weakley,0.48684210526315791,304,TN,Weakley,0.57492354740061158,327,TN,Weakley,0.36184210526315791,304,TN,Weakley,7.3377458511227038,TN,Weakley,3.0225706503534471,21470,TN,Weakley,22545,TN,Weakley
TN,Robertson,0.45434298440979953,449,TN,Robertson,0.24889867841409691,454,TN,Robertson,0.26503340757238308,449,TN,Robertson,0.15418502202643172,454,TN,Robertson,29.693854633788451,TN,Robertson,8.96727361180154,40353,TN,Robertson,36533,TN,Robertson
TN,Crockett,0.95588235294117652,68,TN,Crockett,0.92537313432835822,67,TN,Crockett,0.8970588235294118,68,TN,Crockett,0.82089552238805974,67,TN,Crockett,2.7981072069815403,TN,Crockett,0.82149043381516507,11917,TN,Crockett,13648,TN,Crockett
TN,Tipton,0.66454352441613584,471,TN,Tipton,0.58498023715415015,506,TN,Tipton,0.4713375796178344,471,TN,Tipton,0.31027667984189722,506,TN,Tipton,11.019814982080327,TN,Tipton,1.9603482831477488,33890,TN,Tipton,32742,TN,Tipton
TN,Henderson,0.5067567567567568,148,TN,Henderson,0.36666666666666664,150,TN,Henderson,0.20945945945945946,148,TN,Henderson,0.28,150,TN,Henderson,22.18703164283373,TN,Henderson,3.5010881344616864,11990,TN,Henderson,14393,TN,Henderson
TN,McNairy,0.864406779661017,59,TN,McNairy,0.72580645161290325,62,TN,McNairy,0.76271186440677963,59,TN,McNairy,0.61290322580645162,62,TN,McNairy,3.44603422106757,TN,McNairy,0.35115198296762817,7452,TN,McNairy,7145,TN,McNairy
TN,Fentress,0.7109004739336493,211,TN,Fentress,0.61290322580645162,217,TN,Fentress,0.51658767772511849,211,TN,Fentress,0.28110599078341014,217,TN,Fentress,7.900169574604285,TN,Fentress,1.9047060149545267,10298,TN,Fentress,11635,TN,Fentress
TN,Fayette,0.50830564784053156,301,TN,Fayette,0.31686046511627908,344,TN,Fayette,0.33222591362126247,301,TN,Fayette,0.19186046511627908,344,TN,Fayette,23.241434930490993,TN,Fayette,8.5802900833167044,24971,TN,Fayette,23053,TN,Fayette
TN,Loudon,0.591715976331361,845,TN,Loudon,0.33106575963718821,882,TN,Loudon,0.42011834319526625,845,TN,Loudon,0.22222222222222221,882,TN,Loudon,13.238948636847224,TN,Loudon,6.2440288337316305,85430,TN,Loudon,77834,TN,Loudon
TN,Madison,0.48882681564245811,1074,TN,Madison,0.2,1055,TN,Madison,0.28770949720670391,1074,TN,Madison,0.11090047393364928,1055,TN,Madison,25.158731027959327,TN,Madison,9.3554470268750975,96197,TN,Madison,97232,TN,Madison
